name,address,phone_number,lat,lng,website
กรุงเทพเมดิคอลคลินิกเวชกรรม,"363/11-12 Lat Phrao 122 Alley, Khwaeng Phlabphla, Khet Wang Thonglang, Krung Thep Maha Nakhon 10310, Thailand",099 435 8314,13.7675979,100.6232936,
คลินิกกรุงเทพ-นนทบุรี สาขาเวชกรรม,"48 13 ถนน กรุงเทพ - นนทบุรี Tambon Bang Khen, Amphoe Mueang Nonthaburi, Chang Wat Nonthaburi 11000, Thailand",02 965 1525,13.83409,100.522079,
Bangkok Polyclinic,"Khlong Toei, Bangkok 10110, Thailand",,13.71972,100.564349,
กรุงเทพแพทย์แผนบูรณาการสหคลินิก (BIM Poly Clinic),"Si Lom, Khwaeng Silom, Khet Bang Rak, Krung Thep Maha Nakhon 10500, Thailand",02 115 6619,13.7243003,100.5273942,
เฌอฌาร์มคลินิกเวชกรรม,"อาคาร Move Amaze Lat Phrao 19 Alley, Khwaeng Chom Phon, Khet Chatuchak, Krung Thep Maha Nakhon 10900, Thailand",080 936 9694,13.8065751,100.5731073,https://www.facebook.com/Chercharmladprao/
คลินิกเทคนิคการแพทย์กรุงเทพอาร์ไอเอแล็บ สาขาราชครู,"71 Phahon Yothin 5, Khwaeng Samsen Nai, Khet Phaya Thai, Krung Thep Maha Nakhon 10400, Thailand",02 619 5158,13.7764214,100.5421248,
BSL Clinic ( Bangkok Skin and Laser Center),"30/8 Saladaeng Rd., Silom, Bangrak, Bangkok 10500, Thailand",02 235 8858,13.728089,100.536026,http://www.bangkokaestheticclinic.com/
คลินิกทันตกรรมแอทกรุงเทพ,"1037/6-7 ซอย พหลโยธิน Phahonyothin Rd, Khwaeng Samsen Nai, Khet Phaya Thai, Krung Thep Maha Nakhon 10400, Thailand",02 279 6990,13.7874385,100.5472682,
Global Doctor - TMVC Clinic Bangkok,"981 Holiday Inn Hotel Silom , Silom Road,, แขวง สีลม เขตบางรัก กรุงเทพมหานคร 10500, Thailand",02 236 8444,13.7228437,100.5196593,http://www.globaldoctorclinic.com/
Metro Bangkok Clinic | Aesthetic Treatments | Best Beauty Center in Bangkok Thailand,"Horizon Building, 8 Sukhumvit Soi 63 (Ekamai Road), phrakanong, Wattana, Bangkok 10110, Thailand",083 189 8931,13.721108,100.584712,https://www.metrobangkokclinic.com/
Summit Medical Clinic PC,"1380 E Fillmore St #100, Colorado Springs, CO 80907, USA",(719) 630-1006,38.8737425,-104.7997638,https://www.summitmedicalclinic.com/
Bangkok Laser Clinic,"6 2 Soi Sukhumvit 39, Khwaeng Khlong Tan Nuea, Khet Watthana, Krung Thep Maha Nakhon 10110, Thailand",02 260 2561,13.7364687,100.5740126,http://www.bangkoklaser.com/
Global Doctor - TMVC Clinic Bangkok,"981 Holiday Inn Hotel Silom , Silom Road,, แขวง สีลม เขตบางรัก กรุงเทพมหานคร 10500, Thailand",02 236 8444,13.7228437,100.5196593,http://www.globaldoctorclinic.com/
Preecha Aesthetic Institute,"898/1, Soi Thong LoSukumvit 55 Road, Khlong Toei Nuea, Khet Vadhana, Bangkok, 10110, แขวง คลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110, Thailand",02 715 0111,13.7373912,100.5838859,http://pai.co.th/
Sukumvit 49 Medical Clinic,"169 Soi Sukumvit 49, Sukumvit Road, Khlong Toei Nuea, Khet Wattana, Bangkok, 10110, แขวง คลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110, Thailand",02 391 8894,13.72691,100.575294,
Apex Family Medical Clinic,"5206 W Village Pkwy #10, Rogers, AR 72758, USA",(479) 657-6600,36.317295,-94.18788300000001,http://www.apexfamilymedicalclinic.com/
Bangkok Cosmetic Surgery,"61/74 Rama IX 7 Alley, Khwaeng Huai Khwang, Khet Huai Khwang, Krung Thep Maha Nakhon 10310, Thailand",02 612 2122,13.7585807,100.5700057,http://www.bangkokcosmeticsurgery.com/
Cameo Dental Specialists,"7603 W North Ave, River Forest, IL 60305, USA",(708) 456-7787,41.9084735,-87.81575869999999,https://www.cameods.com/p/oral-surgeon-Chicago-IL-River-Forest-p25867.asp
Kamol Cosmetic Hospital,"Phlabphla, Wang Thonglang, Bangkok 10310, Thailand",02 559 0151,13.7731996,100.6119373,https://www.kamolhospital.com/
Cosmetic Surgery Center of Thailand,"Khlong Toei Nuea, Watthana, Bangkok 10110, Thailand",02 402 6566,13.7458033,100.551676,http://plasticsurgerythailand.org/
PSC Aesthetics of the Plastic Surgery Center,"3931 N Ridge Rd, Wichita, KS 67205, USA",(316) 558-9220,37.7554476,-97.4269101,http://www.pscwichita.com/
VERTEX CLINIC COSMETIC SURGERY SKIN AND DENTAL,"Phayathai Plaza 33rd Floor, Phayathai Rd., Patumwan, Bangkok 10330, Thailand",02 612 9188,13.7562065,100.5329406,
Yoskarn Clinic,"53-59 Soi Ratchadamri 2 Khwaeng Lumphini, Khet Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand",094 558 9575,13.7481995,100.541511,http://laser-surgery-bangkok.com/
Lumpini clinic,"12/12 Sala Daeng 1 Alley, Khwaeng Silom, Khet Bang Rak, Krung Thep Maha Nakhon 10500, Thailand",02 236 7730,13.7260102,100.5421037,https://acnedefend.in.th/lumpinee-clinic.html
มิ่งขวัญคลินิก,"269/29 Sathu Pradit Rd, Khwaeng Chong Nonsi, Khet Yan Nawa, Krung Thep Maha Nakhon 10120, Thailand",02 674 2381,13.6989438,100.5316216,
VNA Health Care,"801 Villa St, Elgin, IL 60120, USA",(847) 717-6455,42.027092,-88.2596245,http://www.vnahealth.com/
DAC สถาบันความงามดีเอซี รักษาสิว ลดสัดส่วน แยกไฟฉาย,"238/11-12 ถนนจรัญสนิทวงศ์ 28/5 สามแยกไฟฉาย บ้านช่างหล่อ บางกอกน้อย Krung Thep Maha Nakhon 10700, Thailand",095 059 1010,13.755391,100.469549,http://www.derminet.com/
Klear Clinic เคลียร์คลินิก,"205 ลาดพร้าววังหิน (ระหว่าง ซ.33-35) Khwaeng Lat Phrao, Khet Lat Phrao, Krung Thep Maha Nakhon 10230, Thailand",02 530 1065,13.807333,100.590647,http://www.klearclinic.com/
พรเกษมคลินิก สาขาเดอะมอลล์บางกะปิ (คลินิกรักษาสิว),"Lat Phrao Rd, Khwaeng Khlong Chan, Khet Bang Kapi, Krung Thep Maha Nakhon 10240, Thailand",091 763 8874,13.7665712,100.6418889,http://www.pornkasemclinic.com/
พรเกษมคลินิก สาขาเซ็นเตอร์วัน (คลินิกรักษาสิว),"สาขาเซ็นเตอร์วัน ชั้น 1 ห้อง 1102 1 ศูนย์การค้าเซ็นเตอร์วัน ถนนราชวิถี Phayathai Rd, Khwaeng Thanon Phaya Thai, Khet Ratchathewi, Krung Thep Maha Nakhon 10400, Thailand",091 764 7214,13.7638935,100.539103,http://www.pornkasemclinic.com/
Pat Walker Health Center,"525 Garland Ave, Fayetteville, AR 72701, USA",(479) 575-4451,36.07079360000001,-94.1760023,http://health.uark.edu/
รักษาสิว ฝ้า กระ จุดด่างดำ ผิวหน้าขาวใส โดย Charisny Cosmetics,"102 Ramkhamhaeng 53, Khwaeng Phlabphla, Khet Wang Thonglang, Krung Thep Maha Nakhon 10312, Thailand",084 693 8889,13.76218,100.61968,
Dr.jill Areeya ขาว กระจ่างใส ฝ้า กระ จุดด่างดำ dr.jill Aurame ส่งฟรี,"เลขที่ 17/576 หมู่บ้าน สราญใจคอนโด ซอย สุขุมวิท6 ถนน สุขุมวิท วัฒนา, แขวง คลองเตย เขตคลองเตย กรุงเทพมหานคร 10110, Thailand",085 666 8650,13.7388979,100.5542719,https://drjill-aurame.business.site/
PerV Clinic กรุงเทพ,"644, 57-58 ซอย ประชาอุทิศ 49 Khwaeng Bang Mot, Khet Thung Khru, Krung Thep Maha Nakhon 10140, Thailand",080 007 2277,13.6490475,100.4964371,http://facebook.com/pervclinic
ศูนย์เลเซอร์คนจน สาขา กรุงเทพ,"Ratchaprarop Rd, Khwaeng Makkasan, Khet Ratchathewi, Krung Thep Maha Nakhon 10400, Thailand",093 004 2111,13.7516438,100.5414556,
St. James West Bank Clinic: Dr. Jarelle Scott,"21420 LA-20, Vacherie, LA 70090, USA",(225) 265-3013,29.97289369999999,-90.71745729999999,http://www.sjph.org/services/st-james-west-bank-clinic-225-265-3013
Christina Clinic,"2338 Lexington Ave N, St Paul, MN 55113, USA",(651) 482-8912,45.0116119,-93.1458663,http://www.christinaclinic.com/
DR.SUPRANEE Laser Clinic Thonglor,"125, 22-23 Sukhumvit 55 Khwaeng Khlong Tan Nuea, Khet Watthana, Krung Thep Maha Nakhon 10110, Thailand",098 829 0922,13.730198,100.581155,http://www.drsupranee.com/
Natasa Clinic,"ถนนทองหล่อ Khwaeng Khlong Tan Nuea, Khet Watthana, Krung Thep Maha Nakhon 10110, Thailand",02 392 1444,13.725961,100.580327,http://www.natasaclinic.com/
